STATION,LINENAME,ZIPCODE
BUSHWICK AV,L,11207
CANAL ST,JNQRZ6W,10013
CANAL ST,ACE,10013
CANAL ST,1,10013
CANARSIE-ROCKAW,L,11236
CARROLL ST,FG,11231
CASTLE HILL AV,6,10462
CATHEDRAL PKWY,BC,10026
CATHEDRAL PKWY,1,10025
CENTRAL AV,M,11221
CENTRAL PK N110,23,10026
CHAMBERS ST,JZ456,10007
CHAMBERS ST,ACE23,10007
CHAMBERS ST,123,10013
CHAUNCEY ST,JZ,11207
CHRISTOPHER ST,1,10014
CHURCH AV,BQ,11226
CHURCH AV,FG,11218
CHURCH AV,25,11226
CITY / BUS,1,10038
CITY HALL,NRW,10038
CLARK ST,23,11201
CLASSON AV,G,11205
CLEVELAND ST,J,11208
CLINTON-WASH AV,C,11238
CLINTON-WASH AV,G,11205
CONEY IS-STILLW,DFNQ,11224
CORTELYOU RD,BQ,11226
CORTLANDT ST,RNW,10007
COURT SQ,EMG,11101
COURT SQ,7,11101
COURT SQ-23 ST,EMG,11101
CRESCENT ST,JZ,11208
CROWN HTS-UTICA,34,11213
CYPRESS AV,6,10454
CYPRESS HILLS,J,11208
DEKALB AV,BDNQR,11201
DEKALB AV,L,11237
DELANCEY/ESSEX,FJMZ,10002
DITMAS AV,F,11218
DYCKMAN ST,A,10034
DYCKMAN ST,1,10034
E 143/ST MARY'S,6,10454
E 149 ST,6,10455
E 180 ST,25,10460
EAST 105 ST,L,11236
EAST BROADWAY,F,10002
EASTCHSTER/DYRE,5,10466
EASTN PKWY-MUSM,23,11238
ELDER AV,6,10472
ELMHURST AV,MR,11373
EUCLID AV,AC,11208
EXCHANGE PLACE,1,7302
FAR ROCKAWAY,A,11691
FLATBUSH AV-B.C,25,11210
FLUSHING AV,JM,11206
FLUSHING AV,G,11206
FLUSHING-MAIN,7,11354
FORDHAM RD,BD,10468
FORDHAM RD,4,10468
FOREST AVE,M,11385
FOREST HILLS 71,EFMR,11375
FRANKLIN AV,ACS,11216
FRANKLIN AV,2345S,11225
FRANKLIN ST,1,10013
FREEMAN ST,25,10459
FRESH POND RD,M,11385
FT HAMILTON PKY,N,11219
FT HAMILTON PKY,D,11219
FT HAMILTON PKY,FG,11218
FULTON ST,ACJZ2345,10038
FULTON ST,2345ACJZ,10038
FULTON ST,G,11217
GATES AV,JZ,11221
GRAHAM AV,L,11211
GRAND ARMY PLAZ,23,11238
GRAND ST,L,11211
GRAND ST,BD,10002
GRAND-NEWTOWN,MR,11373
GRANT AV,A,11208
GRD CNTRL-42 ST,4567S,10017
GREENPOINT AV,G,11222
GROVE STREET,1,7302
GUN HILL RD,25,10467
GUN HILL RD,5,10469
HALSEY ST,L,11385
HALSEY ST,J,11221
HARLEM 148 ST,3,10039
HARRISON,1,10528
HEWES ST,JM,11211
HIGH ST,AC,11201
HOUSTON ST,1,10014
HOWARD BCH JFK,A,11414
HOYT ST,23,11201
HOYT-SCHER,ACG,11201
HUNTERS PT AV,7,11101
HUNTS POINT AV,6,10459
INTERVALE AV,25,10459
INWOOD-207 ST,A,10034
JACKSON AV,25,10455
JAMAICA 179 ST,F,11432
JAMAICA CENTER,EJZ,11432
JAMAICA VAN WK,E,11418
JAY ST-METROTEC,R,11201
JAY ST-METROTEC,ACF,11201
JEFFERSON ST,L,11237
JFK JAMAICA CT1,E,11432
JKSN HT-ROOSVLT,EFMR7,11372
JOURNAL SQUARE,1,7306
JUNCTION BLVD,7,11368
JUNIUS ST,3,11212
KEW GARDENS,EF,11415
KINGS HWY,BQ,11229
KINGS HWY,N,11223
KINGS HWY,F,11223
KINGSBRIDGE RD,BD,10468
KINGSBRIDGE RD,4,10468
KINGSTON AV,3,11213
KINGSTON-THROOP,C,11216
KNICKERBOCKER,M,11237
KOSCIUSZKO ST,J,11221
LACKAWANNA,1,7102
LAFAYETTE AV,C,11217
LEXINGTON AV/53,EM6,10022
LEXINGTON AV/63,F,10065
LIBERTY AV,C,11207
LIVONIA AV,L,11207
LONGWOOD AV,6,10459
LORIMER ST,LG,11211
LORIMER ST,JM,11206
MARBLE HILL-225,1,10463
MARCY AV,JMZ,11211
METROPOLITAN AV,M,11379
METROPOLITAN AV,GL,11211
METS-WILLETS PT,7,11368
MIDDLETOWN RD,6,10461
MONTROSE AV,L,11206
MORGAN AV,L,11237
MORISN AV/SNDVW,6,10472
MORRIS PARK,5,10462
MOSHOLU PKWY,4,10467
MT EDEN AV,4,10452
MYRTLE AV,JMZ,11206
MYRTLE-WILLOUGH,G,11206
MYRTLE-WYCKOFF,LM,11237
NASSAU AV,G,11222
NECK RD,BQ,11229
NEPTUNE AV,F,11224
NEREID AV,25,10466
NEVINS ST,2345,11201
NEW LOTS,L,11207
NEW LOTS AV,3,11208
NEW UTRECHT AV,ND,11219
NEWARK BM BW,1,7102
NEWARK C,1,7114
NEWARK HM HE,1,7102
NEWARK HW BMEBE,1,7102
NEWKIRK AV,25,11210
NEWKIRK PLAZA,BQ,11226
NORTHERN BLVD,MR,11377
NORWOOD 205 ST,D,10467
NORWOOD AV,JZ,11208
NOSTRAND AV,AC,11216
NOSTRAND AV,3,11216
OCEAN PKWY,Q,11235
ORCHARD BEACH,6,10461
OZONE PK LEFFRT,A,11419
PARK PLACE,S,11238
PARK PLACE,23ACE,10007
PARKCHESTER,6,10472
PARKSIDE AV,BQ,11225
PARSONS BLVD,F,11432
PATH NEW WTC,1,10007
PATH WTC 2,1,10007
PAVONIA/NEWPORT,1,7310
PELHAM BAY PARK,6,10461
PELHAM PKWY,25,10467
PELHAM PKWY,5,10469
PENNSYLVANIA AV,3,11207
PRESIDENT ST,25,11225
